post_id,text,post_text,shared_text,time,image,video,likes,comments,shares,post_url,link
3195718933845871,"A new Animal Crossing: New Horizons pin set is now available!
Penny Arcade
10 hrs ·
Life on a deserted island isn’t so bad with friends like these… Our new Animal Crossing™: New Horizons pin set features Isabelle, Tom Nook, Timmy & Tommy, and K.K. for the perfect island get-together. https://store.penny-arcade.com/products/new-horizons-pin-set #animalcrossing #ACNH #nintendo #pinnyarcade",A new Animal Crossing: New Horizons pin set is now available!,"Penny Arcade
10 hrs ·
Life on a deserted island isn’t so bad with friends like these… Our new Animal Crossing™: New Horizons pin set features Isabelle, Tom Nook, Timmy & Tommy, and K.K. for the perfect island get-together. https://store.penny-arcade.com/products/new-horizons-pin-set #animalcrossing #ACNH #nintendo #pinnyarcade",2020-07-01 01:38:55,https://scontent.fhyd2-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/105708294_10158309778364705_4678767446289252546_o.jpg?_nc_cat=1&_nc_sid=8024bb&_nc_oc=AQm9dT_2jHHDk12agbldB6KsXuqPSerLHXa-fyMpO7r2ZqdsE1kBsuSuNHBUOaWcbHM&_nc_ht=scontent.fhyd2-1.fna&_nc_tp=14&oh=0bdf5bbd0adf8c55ad15ff97cd7a888a&oe=5F21C129,,1051,199,171,https://m.facebook.com/story.php?story_fbid=3195718933845871&id=119240841493711,https://store.penny-arcade.com/products/new-horizons-pin-set
3193430917408006,"Check out Clubhouse Games: 51 Worldwide Classics, Burnout Paradise Remastered and other highlighted games that came out during June on Nintendo Switch eShop in this month’s The Download video!
Find more new releases here: https://bit.ly/2WwBDLV","Check out Clubhouse Games: 51 Worldwide Classics, Burnout Paradise Remastered and other highlighted games that came out during June on Nintendo Switch eShop in this month’s The Download video!
Find more new releases here: https://bit.ly/2WwBDLV",,2020-06-30 22:30:01,,https://video.fhyd2-1.fna.fbcdn.net/v/l/t42.9040-2/106233353_606035046688935_6965548840735762138_n.mp4?_nc_cat=111&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_oc=AQmM1oWNoBuvosW6ogrwlnBawbXD0B2IumQy_zAZgBPa-xjx9eNgy8qaqR7JZqHN6E8&_nc_ht=video.fhyd2-1.fna&oh=31d8b6b7184307c25dc0aa56e39d5be6&oe=5EFC38AD,193,10,0,https://m.facebook.com/story.php?story_fbid=3193430917408006&id=119240841493711,https://bit.ly/2WwBDLV
